	gene	group	pval
456	ADCK4	StableCOPD	0.2629228105639253
457	ADCK5	AECOPD	0.7981114609983876
458	ADCK5	StableCOPD	0.8462118005269181
459	ADCY10P1	AECOPD	0.9270281475267956
460	ADCY10P1	StableCOPD	0.004485539787085102
461	ADCY3	AECOPD	0.03172587313606101
462	ADCY3	StableCOPD	0.8186095805471918
463	ADCY4	AECOPD	0.20648403618562516
464	ADCY4	StableCOPD	0.6829827730925895
465	ADCY5	StableCOPD	0.5492168838485055
466	ADCY6	AECOPD	0.4027733997643983
467	ADCY6	StableCOPD	0.935698811191972
468	ADCY7	AECOPD	0.8291195792086825
469	ADCY7	StableCOPD	0.7772694120107111
470	ADCY9	AECOPD	0.751225774114607
471	ADCY9	StableCOPD	0.9678181249873898
472	ADD1	AECOPD	0.03405022432570648
473	ADD1	StableCOPD	0.118610614320106
474	ADD2	AECOPD	0.5335968763627879
475	ADD2	StableCOPD	0.7897394714638915
476	ADD3	AECOPD	0.24574122003165222
477	ADD3	StableCOPD	0.3213849298708811
478	ADD3-AS1	AECOPD	0.46670036927698577
479	ADD3-AS1	StableCOPD	0.8002091477489712
480	ADGRA2	AECOPD	0.014378692157917206
481	ADGRA2	StableCOPD	0.19925583749801312
482	ADGRA3	AECOPD	0.3504821064960273
483	ADGRA3	StableCOPD	0.2364565771895888
484	ADGRB1	AECOPD	0.41213120944331827
485	ADGRB1	StableCOPD	0.8012983605910803
486	ADGRB2	AECOPD	0.3309155292952132
487	ADGRB2	StableCOPD	0.15610564744068323
488	ADGRD1	AECOPD	0.00015155861951188232
489	ADGRD1	StableCOPD	0.12657672911639495
490	ADGRE1	AECOPD	0.0026283038619494548
491	ADGRE1	StableCOPD	0.05155252610182026
492	ADGRE2	AECOPD	0.26943228819861775
493	ADGRE2	StableCOPD	0.7290744883921665
494	ADGRE3	AECOPD	0.05463174522253489
495	ADGRE3	StableCOPD	0.013544318951468237
496	ADGRE4P	AECOPD	0.3230862949275348
497	ADGRE4P	StableCOPD	0.9854231370261978
498	ADGRE5	AECOPD	4.7575014927581094e-08
499	ADGRE5	StableCOPD	0.00031394043819255035
500	ADGRF3	AECOPD	0.34886761458851356
501	ADGRF3	StableCOPD	0.5010659567118683
502	ADGRG1	AECOPD	0.006193171256588803
503	ADGRG1	StableCOPD	0.09962838239619398
504	ADGRG3	AECOPD	0.2590562508080305
505	ADGRG3	StableCOPD	0.5217553788281614
506	ADGRG5	AECOPD	0.0013960052726176286
507	ADGRG5	StableCOPD	0.09926882781214441
508	ADGRG6	AECOPD	0.32868222271616554
509	ADGRG6	StableCOPD	0.5538945049779128
510	ADGRL1	AECOPD	0.062403692614428685
511	ADGRL1	StableCOPD	0.3203871248445359
512	ADH5	AECOPD	0.8702443218606941
513	ADH5	StableCOPD	0.09445937820058137
514	ADHFE1	AECOPD	0.09645103752628004
515	ADHFE1	StableCOPD	0.12397354304299046
516	ADI1	AECOPD	0.08919842966890745
517	ADI1	StableCOPD	0.02446702371609666
518	ADIPOR1	AECOPD	0.860599731163277
519	ADIPOR1	StableCOPD	0.4736547713607715
520	ADIPOR2	AECOPD	0.0804097939315882
521	ADIPOR2	StableCOPD	0.02963361241899276
522	ADIRF	AECOPD	0.3905242196815826
523	ADIRF	StableCOPD	0.2003658171520093
524	ADK	AECOPD	0.6183566093145616
525	ADK	StableCOPD	0.49413025444221925
526	ADM	AECOPD	0.2533598102785136
527	ADM	StableCOPD	0.24181081911252966
528	ADM2	AECOPD	0.921614958840528
529	ADM2	StableCOPD	0.27515510373176477
530	ADM5	AECOPD	0.8333990059928277
531	ADM5	StableCOPD	0.9625830864554894
532	ADNP	AECOPD	0.10879138997870808
533	ADNP	StableCOPD	0.018637313594484395
534	ADNP-AS1	AECOPD	0.6773072783476487
535	ADNP-AS1	StableCOPD	0.9483065682332859
536	ADNP2	AECOPD	0.3716971680680057
537	ADNP2	StableCOPD	0.6337631570618945
538	ADO	AECOPD	0.015105026045409975
539	ADO	StableCOPD	0.004517730015303423
540	ADORA1	AECOPD	0.4117162759028822
541	ADORA1	StableCOPD	0.709162471745997
542	ADORA2A	AECOPD	0.4755832107908664
543	ADORA2A	StableCOPD	0.03689702686197438
544	ADORA2A-AS1	AECOPD	0.2975337512154891
545	ADORA2A-AS1	StableCOPD	0.02014338596918419
546	ADORA2B	AECOPD	0.38993195181865425
547	ADORA2B	StableCOPD	0.6602782286082689
548	ADORA3	AECOPD	0.008680395658521078
549	ADORA3	StableCOPD	0.0002637241294998205
550	ADPGK	AECOPD	0.00018848679283600678
551	ADPGK	StableCOPD	0.006525384688639946
552	ADPGK-AS1	AECOPD	0.18663092184346608
553	ADPGK-AS1	StableCOPD	0.06434664395795475
554	ADPRH	AECOPD	0.007999547334542223
555	ADPRH	StableCOPD	0.3725108991639222
556	ADPRHL1	AECOPD	0.6504723895088954
557	ADPRHL1	StableCOPD	0.22723604713074408
558	ADPRHL2	AECOPD	0.23978827786055235
559	ADPRHL2	StableCOPD	0.01919723447426136
560	ADPRM	AECOPD	0.8241765758282265
561	ADPRM	StableCOPD	0.8974835995485387
562	ADRA2A	AECOPD	0.015956880893731706
563	ADRA2A	StableCOPD	0.18749553841330657
564	ADRA2B	StableCOPD	0.03458137076370871
565	ADRB1	AECOPD	0.214224145317921
566	ADRB1	StableCOPD	0.01219797536182432
567	ADRB2	AECOPD	0.004468187371399868
568	ADRB2	StableCOPD	0.0871747027624874
569	ADRBK1	AECOPD	0.0033916678628311825
570	ADRBK1	StableCOPD	0.0005940416784339098
571	ADRBK2	AECOPD	0.023008708785710152
572	ADRBK2	StableCOPD	0.36846192547103807
573	ADRM1	AECOPD	0.7197752348808776
574	ADRM1	StableCOPD	0.3263298508681284
575	ADSL	AECOPD	0.1964903608213472
576	ADSL	StableCOPD	0.0336322516085813
577	ADSS	AECOPD	0.10314076072642442
578	ADSS	StableCOPD	0.9406715831328467
579	ADSSL1	AECOPD	0.3481731009750829
580	ADSSL1	StableCOPD	0.8579385767926362
581	ADTRP	AECOPD	0.2795028057143746
582	ADTRP	StableCOPD	0.657017218177812
583	AEBP1	AECOPD	0.6361670538875854
584	AEBP1	StableCOPD	0.7017372995870308
585	AEBP2	AECOPD	0.5064925272141703
586	AEBP2	StableCOPD	0.854525574710712
